Date;SP500
03.06.02;1067.66
04.06.02;1064.66
05.06.02;1067.14
06.06.02;1040.68
07.06.02;1040.69
10.06.02;1049.90
11.06.02;1029.15
12.06.02;1027.53
13.06.02;1030.74
14.06.02;1013.60
17.06.02;1020.26
18.06.02;1009.56
19.06.02;1007.27
20.06.02;1036.17
21.06.02;1037.14
24.06.02;1019.99
25.06.02;1006.29
26.06.02;989.14
27.06.02;992.72
28.06.02;976.14
01.07.02;973.53
02.07.02;990.64
03.07.02;989.82
04.07.02;989.82
05.07.02;968.65
08.07.02;948.09
09.07.02;953.99
10.07.02;989.03
11.07.02;976.98
12.07.02;952.83
15.07.02;920.47
16.07.02;927.37
17.07.02;921.39
18.07.02;917.93
19.07.02;900.94
22.07.02;906.04
23.07.02;881.56
24.07.02;847.75
25.07.02;819.85
26.07.02;797.70
29.07.02;843.43
30.07.02;838.68
31.07.02;852.84
01.08.02;898.96
02.08.02;902.78
05.08.02;911.62
06.08.02;884.66
07.08.02;864.24
08.08.02;834.60
09.08.02;859.57
12.08.02;876.77
13.08.02;905.46
14.08.02;908.64
15.08.02;903.80
16.08.02;884.21
19.08.02;919.62
20.08.02;930.25
21.08.02;928.77
22.08.02;950.70
23.08.02;937.43
26.08.02;949.36
27.08.02;962.70
28.08.02;940.86
29.08.02;947.95
30.08.02;934.82
02.09.02;934.82
03.09.02;917.87
04.09.02;917.80
05.09.02;916.07
06.09.02;878.02
09.09.02;893.40
10.09.02;879.15
11.09.02;893.92
12.09.02;902.96
13.09.02;909.58
16.09.02;909.45
17.09.02;886.91
18.09.02;889.81
19.09.02;891.10
20.09.02;873.52
23.09.02;869.46
24.09.02;843.32
25.09.02;845.39
26.09.02;833.70
27.09.02;819.29
30.09.02;839.66
01.10.02;854.95
02.10.02;827.37
03.10.02;815.28
04.10.02;847.91
07.10.02;827.91
08.10.02;818.95
09.10.02;800.58
10.10.02;785.28
11.10.02;798.55
14.10.02;776.76
15.10.02;803.92
16.10.02;835.32
17.10.02;841.44
18.10.02;881.27
21.10.02;860.02
22.10.02;879.20
23.10.02;884.39
24.10.02;899.72
25.10.02;890.16
28.10.02;896.14
29.10.02;882.50
30.10.02;897.65
31.10.02;890.23
01.11.02;882.15
04.11.02;890.71
05.11.02;885.76
06.11.02;900.96
07.11.02;908.35
08.11.02;915.39
11.11.02;923.76
12.11.02;902.65
13.11.02;894.74
14.11.02;876.19
15.11.02;882.95
18.11.02;882.53
19.11.02;904.27
20.11.02;909.83
21.11.02;900.36
22.11.02;896.74
25.11.02;914.15
26.11.02;933.76
27.11.02;930.55
28.11.02;930.55
29.11.02;932.87
02.12.02;913.31
03.12.02;938.87
04.12.02;936.31
05.12.02;934.53
06.12.02;920.75
09.12.02;917.58
10.12.02;906.55
11.12.02;912.23
12.12.02;892.00
13.12.02;904.45
16.12.02;904.96
17.12.02;901.58
18.12.02;889.48
